time,open,high,low,close,volume
2020-06-29 21:00:00,9192.93,9205.00,9064.89,9138.55,31463
2020-06-30 21:00:00,9138.08,9292.00,9080.10,9232.00,38489
2020-07-01 21:00:00,9231.99,9261.96,8940.00,9086.54,45725
2020-07-02 21:00:00,9086.54,9125.00,9037.47,9058.26,28943
2020-07-03 21:00:00,9057.79,9190.00,9040.04,9135.46,26442
2020-07-04 21:00:00,9135.00,9145.24,8893.03,9069.41,34074
2020-07-05 21:00:00,9069.41,9375.00,9055.92,9344.20,54463
2020-07-06 21:00:00,9342.47,9379.42,9203.00,9257.39,34587
2020-07-07 21:00:00,9257.40,9470.00,9231.00,9436.06,56141
2020-07-08 21:00:00,9436.06,9440.79,9160.00,9232.43,48044
2020-07-09 21:00:00,9232.42,9317.48,9125.00,9288.34,38295
2020-07-10 21:00:00,9288.34,9299.28,9178.25,9234.03,22561
2020-07-11 21:00:00,9234.02,9345.00,9157.50,9302.75,30873
2020-07-12 21:00:00,9303.31,9343.82,9200.89,9242.62,42740
2020-07-13 21:00:00,9242.61,9279.54,9113.00,9255.85,45773
2020-07-14 21:00:00,9255.85,9276.49,9160.57,9197.60,39054
2020-07-15 21:00:00,9197.60,9226.15,9047.25,9133.72,43376
2020-07-16 21:00:00,9133.72,9186.83,9089.81,9154.32,28054
2020-07-17 21:00:00,9154.31,9219.30,9121.10,9170.28,22555
2020-07-18 21:00:00,9170.30,9232.27,9101.35,9208.99,26052
2020-07-19 21:00:00,9208.99,9221.52,9131.00,9160.78,35459
2020-07-20 21:00:00,9160.78,9437.73,9152.80,9390.00,60414
2020-07-21 21:00:00,9390.00,9544.00,9261.00,9518.16,48815
2020-07-22 21:00:00,9518.16,9664.00,9440.33,9603.27,51856
2020-07-23 21:00:00,9603.27,9637.00,9463.44,9537.80,43931
2020-07-24 21:00:00,9538.10,9732.90,9513.00,9700.42,40680
2020-07-25 21:00:00,9700.42,10111.00,9650.00,9931.54,65279
2020-07-26 21:00:00,9931.54,11394.86,9917.21,11029.96,150189
2020-07-27 21:00:00,11029.96,11242.23,10565.00,10906.27,97268
