time,open,high,low,volume
2020-08-29 16:00:00,6.43550000,6.43890000,6.26780000,401257.93000000
2020-08-29 17:00:00,6.33330000,6.36570000,6.26500000,289313.42000000
2020-08-29 18:00:00,6.27990000,6.37980000,6.27340000,167166.33000000
2020-08-29 19:00:00,6.33680000,6.38460000,6.23140000,351526.74000000
2020-08-29 20:00:00,6.26220000,6.31560000,6.07400000,778450.54000000
2020-08-29 21:00:00,6.13390000,6.25100000,6.13360000,388658.63000000
2020-08-29 22:00:00,6.17520000,6.17520000,6.05000000,831903.73000000
2020-08-29 23:00:00,6.13060000,6.20390000,6.12200000,316999.95000000
2020-08-30 00:00:00,6.13420000,6.19350000,5.90000000,1485171.36000000
2020-08-30 01:00:00,6.01470000,6.01640000,5.88900000,796398.31000000
2020-08-30 02:00:00,5.96080000,6.04540000,5.95780000,398285.54000000
2020-08-30 03:00:00,6.02870000,6.11850000,5.93070000,561298.73000000
2020-08-30 04:00:00,5.96090000,6.03000000,5.92800000,426600.38000000
2020-08-30 05:00:00,5.93790000,6.05880000,5.93770000,528580.33000000
2020-08-30 06:00:00,6.00980000,6.14980000,6.00410000,433368.39000000
2020-08-30 07:00:00,6.07500000,6.07950000,5.97000000,328449.53000000
2020-08-30 08:00:00,5.98270000,6.10250000,5.98270000,381086.13000000
2020-08-30 09:00:00,6.05070000,6.09900000,5.96390000,273141.99000000
2020-08-30 10:00:00,5.98740000,6.07030000,5.84380000,761042.21000000
2020-08-30 11:00:00,5.89140000,5.93340000,5.69990000,1486854.19000000
2020-08-30 12:00:00,5.82850000,5.88880000,5.78130000,649724.49000000
2020-08-30 13:00:00,5.80210000,5.99190000,5.75090000,669083.93000000
2020-08-30 14:00:00,5.89290000,6.05250000,5.89070000,555643.91000000
2020-08-30 15:00:00,6.01280000,6.10950000,5.98720000,354139.55000000
2020-08-30 16:00:00,6.10490000,6.12000000,5.94000000,422199.77000000
2020-08-30 17:00:00,5.98460000,6.01980000,5.86000000,271933.38000000
2020-08-30 18:00:00,5.92000000,5.95890000,5.88300000,200289.62000000
